,nodes,edges,average_path
0,3121,4405,35.292507743244684
1,5237,7815,50.07720875424658
2,839,1140,27.640078966607025
3,3053,3914,43.38682682826208
4,1503,2264,25.66551406729373
5,3290,4706,38.717724828363124
6,4432,5542,38.37836690872561
7,23269,33707,89.76172114579849
8,20712,28796,71.59368315499482
9,4002,5863,37.81403162452765
10,1239,1751,21.932086040516808
11,1719,2665,28.793838771086147
12,1856,2767,30.61154091923041
13,4175,5648,51.26553210780165
14,419,603,16.874319123910883
15,1202,1616,26.38657469302481
16,1071,1502,23.51342181732506
17,4819,6742,32.68318010269817
18,883,1220,23.883305983775163
19,1566,2208,29.774950934188567
20,13813,19521,48.1817632185179
21,3192,4686,35.243891811949176
22,7709,11058,39.4029542970115
23,3891,5890,40.82139166318159
24,3496,4512,43.03584362099502
25,1250,1833,30.41690696557246
26,4443,6210,46.68865634370342
27,1029,1375,22.57255920711809
28,615,841,21.609374751727973
29,1185,1646,23.72599213137188
30,352,473,16.76278813778814
31,1111,1340,28.496885364212098
32,2514,3279,35.17951615798326
33,13952,18767,58.328614734220494
34,7693,10642,53.7607945212128
35,1761,2402,32.08475233596614
36,1240,1670,25.28364055299539
37,1955,2888,30.682344040816005
38,2846,3553,36.72032871961635
39,1357,1928,24.960379154955294
40,8932,13963,38.955877230233504
41,373,523,14.211925970768831
42,4291,5122,46.10436491186899
43,1802,2543,25.222157994602824
44,1791,2522,28.578291831597465
45,843,1199,20.35812038782428
46,1649,2429,31.58403151071258
47,3465,5099,27.529779150795317
48,4068,4546,39.35588903080868
49,1499,2063,29.149004543304795
50,2140,3024,37.24473004679451
51,2366,3203,22.06521421333586
52,9021,12881,46.08565011278193
53,2707,3795,31.200321577383757
54,3991,5612,36.376004531499134
55,19452,27790,61.58606892025922
56,352,492,15.497717560217561
57,1468,2029,27.600513754924414
58,6007,8130,47.12702790245657
59,18577,25314,62.297767058605665
60,706,1052,17.928286420348382
61,2544,3473,30.36249867066333
62,2287,3190,29.940751503132507
63,3304,4602,32.21094386275885
64,9094,13609,42.96748125102988
65,2789,3901,26.12192215472447
66,1596,2180,35.070791398559095
67,17456,25140,43.98570304916584
68,1269,1655,30.3118243083677
69,786,1027,21.941449895463606
70,1945,2704,24.41343637267659
71,1807,2474,28.46209615491864
72,4636,6604,36.726609722885385
73,3303,4445,35.36742619497023
74,1386,1914,23.110070274691214
75,745,1019,18.51081763729523
76,2371,3321,32.244265536270724
77,2067,2708,30.893262071055272
78,1848,2483,23.21504276268759
79,1847,2528,28.64859122667369
80,15797,23262,53.3811196252889
81,621,910,16.02567658822918
82,711,895,23.5826746696777
83,762,1032,28.97196326149113
84,3224,4511,40.98380206163978
85,3524,4549,32.10672963753998
86,4819,6824,37.631423749787984
87,8324,11872,49.92971746282065
88,1638,2180,28.40280584141305
89,2174,2985,28.584366298610824
90,2132,3021,45.533328256251195
91,60118,91622,61.143458538339125
92,1077,1563,20.098219617345443
93,3182,4468,30.35467423148641
94,3147,4332,30.711816478867348
95,3553,5452,27.196945133284142
96,576,802,19.539933574879228
97,3006,4278,28.149442435151883
98,7171,9695,41.481387006046944
99,2216,2976,27.01105605854406
100,11520,14228,55.415514720244815
101,1685,2337,19.025541137746075
102,938,1328,21.548019924770113
103,6496,9502,36.36701711623568
104,1418,1746,22.882529589818574
105,2119,2864,27.70719347100584
106,280,416,10.239938556067589
107,11061,17071,44.8204991455406
108,2069,2769,33.0692267636932
109,6891,9847,48.58694037088826
110,4286,6798,31.025134613740647
111,1006,1543,19.54606094774636
112,3114,4477,37.521934762564676
113,2380,3296,30.886669775097932
114,3538,4470,65.54633397438018
115,4256,5969,33.0457831564811
116,1050,1526,24.310485269417587
117,3253,4255,38.59437120962049
118,835,1169,19.821413288530852
119,3414,4905,27.96379620222551
120,742,1038,18.60422827751527
121,2130,2656,26.35723884563054
122,2744,4197,31.705447951796728
123,1615,2435,25.196013212563443
124,3116,4540,38.737398854769154
125,1627,1953,37.30785537111671
126,4086,5617,42.34974690422741
127,540,771,16.1703909846767
128,5073,7063,46.405028305975655
129,926,1360,20.395084933745842
130,3131,3563,38.59452246574755
131,20989,32430,41.595535181137976
132,1658,2093,29.685927959972425
133,1511,2081,24.056708201664613
134,637,893,23.23458033431079
135,11435,18022,44.06638674351589
136,4422,6018,40.447271978410676
137,1583,2440,31.38272958656011
138,3509,4337,30.358213266878817
139,9859,16175,39.572320356095815
140,4010,5663,37.680226224162716
141,757,1070,20.786465650402242
142,7596,11270,56.231693233783346
143,3768,5445,36.97310987077971
144,1575,2158,25.952707690445937
145,378,488,14.806267806267806
146,1148,1559,25.361775454222347
147,2451,3469,41.55922530578939
148,8867,12095,46.484897542603356
149,5867,8623,53.01861318320393
150,507,672,16.52244076993241
151,2563,3507,30.409278073880902
152,4109,5915,31.98581378942796
153,1863,2331,33.88711311289496
154,28740,40651,50.642857509876464
155,10726,16645,38.48931356045285
156,1915,2711,23.523175393077256
157,986,1268,18.66611546421474
158,628,935,16.886198559514014
159,5020,7762,30.178845804270466
160,2811,3835,32.536131694119824
161,4484,6163,42.048270371388156
162,578,685,20.69466216499853
163,4999,6811,37.39404839751464
164,5784,8050,40.56754027460179
165,2021,2677,28.189648786749036
166,1341,1778,25.5049072311819
167,1020,1395,27.59979218380188
168,2424,3327,36.99865528236687
169,960,1407,21.487536930830725
170,15422,26175,47.17771009560056
171,761,1082,21.347634691195793
172,2664,3779,29.80322295633974
173,12840,17572,51.66508371470396
174,20906,28694,49.26482071329272
175,1564,2147,32.025777531241154
176,3018,4514,35.56652395866762
177,1355,1874,25.105547046607835
178,41512,50192,92.45331083116541
179,1444,1897,27.4048995724896
180,935,1355,20.02822888158573
181,999,1420,21.926168653623563
182,4650,6151,40.955650446274724
183,210,302,10.273501936659832
184,1416,1951,27.387229242778144
185,8180,11319,53.612794589040874
186,435,539,18.601769161502197
187,8270,12344,39.289404622062
188,2904,4014,35.00650770695082
189,49514,72145,72.93254612728394
190,1783,2715,22.764444469623008
191,2342,3446,31.711315863103458
192,1267,2033,25.42421737357717
193,1609,2245,28.000318482169636
194,5520,7372,51.55822842564947
195,5284,7518,46.77003222453923
196,219,294,12.217334841439403
197,210,279,12.51574390521759
198,208,302,9.563266443701226
199,1531,2072,27.92751629717857
200,7905,11692,36.6720597838195
201,1123,1575,23.695728433039207
202,849,1295,19.15711880792053
203,216,268,15.729328165374676
204,1522,1881,23.42711975401756
205,5284,7992,35.71433359369168
206,908,1295,24.24508351587506
207,2226,2761,36.565042753162324
208,2154,2998,35.04394679790804
209,140,192,9.910791366906475
210,7059,11494,33.72486323527186
211,840,1185,20.192794710255974
212,2563,3659,33.2658879149416
213,5302,7806,37.25840373313762
214,7754,10777,56.69092809755788
215,2773,3689,36.2800760164626
216,238,329,11.5204765450484
217,1366,1958,28.139283166808788
218,21494,33344,56.2718300596751
219,1588,2252,22.27307198443271
220,2893,4329,26.00374825674985
221,409,516,16.450165396231842
222,3406,4752,32.500873728058714
223,2040,2752,26.517556183827136
224,978,1449,19.77410084290418
225,748,1075,23.98425430778372
226,144,194,9.35003885003885
227,4736,6938,46.36956721438968
228,4078,5997,42.9975408405362
229,1328,1762,25.209730027873363
230,3156,4359,31.137438109986963
231,613,864,18.541097570077515
232,6069,8775,50.474181498571745
233,1830,2684,23.13651880600047
234,1233,1516,27.033914483732
235,1711,2399,31.01666273613119
236,7673,10841,38.865841105282705
237,7919,11443,35.18111763137509
238,916,1402,17.81793495120147
239,1457,2290,25.768528400220234
240,2962,4122,35.2208341571193
241,864,1038,22.65972758679885
242,1246,1847,23.381136746021003
243,13214,17168,49.24691024020161
244,10888,15059,41.565982036965536
245,4385,6061,33.954049555135704
246,649,968,18.08580627365938
247,4127,6110,29.218261191183792
248,3783,5071,33.17233502938988
249,2416,3503,30.720278886100942
250,820,1279,23.42255576401918
251,1341,1753,22.552631696105603
252,8236,11628,42.46444003299153
253,1553,2196,26.515734428210116
254,786,994,18.167809273755694
255,4350,6403,30.36878997153527
256,961,1511,21.63888093999306
257,3125,4282,42.75449895006402
258,3045,4624,30.312275784390515
259,5362,6405,40.19775651870079
260,12366,18478,47.988574047554444
261,7443,10336,47.89836750163917
262,24953,41096,53.43572253444684
263,870,1359,22.599888893297884
264,1631,2099,37.942046920666684
265,2123,2652,32.25813816896137
266,2815,3830,35.85062103842624
267,415,577,15.728432570863163
268,5327,7613,35.90570042537605
269,3090,4370,36.434852975533815
270,4220,5312,41.476376446429995
271,994,1264,19.945274871788637
272,19356,27243,47.712083690547324
273,4444,6430,35.76677964893046
274,3142,4614,30.592950750337774
275,1301,1760,29.685121504168393
276,2374,3440,28.589069818382953
277,3488,4841,28.956890008235042
278,134,152,9.786107058691504
279,2091,3030,24.296353705445302
280,4675,6233,41.9518418192344
281,1086,1482,21.459011635308194
282,1418,1948,21.771926227264537
283,25055,35171,77.71357958129538
284,1606,2037,22.461310583753292
285,2904,3602,41.12633530052031
286,674,908,20.851367498379638
287,5806,8203,36.613134827703554
288,7968,11748,41.32113621424319
289,3423,4409,37.51967754146367
290,6882,10945,40.60243350644689
291,9525,14262,44.7147612606803
292,333,491,13.031748616085965
293,2906,4079,27.17579629302778
294,1412,2026,22.84685885685719
295,2175,3086,24.375835633241337
296,1005,1350,28.403462765852016
297,3578,4875,37.37350859545638
298,943,1271,21.752934236625666
299,1202,1683,24.330984578852068
300,773,1074,19.99471810924398
301,1446,1959,24.72081628355516
302,2204,2789,28.61923725525249
303,2311,3413,35.99147199259705
304,925,1334,18.112884052884052
305,1519,2142,25.025058091577826
306,1953,2783,25.249632763382102
307,3374,4299,26.453094599869143
308,11691,16891,54.22576311506903
309,13994,19398,57.13641239452287
310,8888,12993,34.54585934288264
311,5075,6753,47.09771752448006
312,612,898,16.66817496229261
313,965,1377,19.253526970954358
314,2389,3614,28.20846453559832
315,1146,1525,27.8118566953977
316,1797,2397,22.92142186990691
317,2086,2897,22.33735466085425
318,889,1375,17.441780926032894
319,1015,1529,24.289177135861486
320,2218,3173,28.405441516147256
321,6434,8757,50.171821778258
322,3444,4646,34.13184606245465
323,3866,5575,31.44546967659812
324,9728,13942,70.6331218921288
325,4287,5854,34.34102024797756
326,1916,2256,34.374147620423315
327,1865,2674,29.04989931997837
328,285,443,10.920657276995305
329,940,1384,20.912315047696733
330,4726,7028,34.6518652864823
331,9204,11278,44.339386973136655
332,3754,5547,35.534996190580834
333,7012,9546,35.31603690492725
334,788,1010,24.475477138010437
335,3059,4472,43.79564595225659
336,1362,1880,23.81804538210977
337,653,932,16.516150095359784
338,2140,2758,31.780098569949274
339,5853,8518,38.48139563997828
340,1507,2058,29.23026496094807
341,8175,11255,47.70614001731454
342,2645,3746,31.831254700874254
343,1151,1373,52.76353869980735
344,4202,5426,35.8242221741588
345,1645,2271,48.21112269725408
346,2759,4031,32.92880784910929
347,941,1347,26.376037262305832
348,8513,11424,47.481422982894806
349,1029,1348,21.849489323244583
350,3683,5245,36.606112055581356
351,2335,3456,24.8578826361633
352,3936,5289,32.13376011094927
353,551,781,16.306457680250784
354,11913,16734,44.28513914710845
355,1342,1898,23.139484847373502
356,1689,2336,36.34763552285629
357,3666,5080,30.123750641007035
358,2417,3312,29.490559762937472
359,1660,2295,35.67559496575815
360,947,1291,20.010492687489815
361,545,777,17.6145507285483
362,2788,4093,30.574160415826917
363,585,793,16.742430628732
364,3439,4869,35.81810904958539
365,1083,1349,24.691873910869205
366,4822,7231,41.57078490851798
367,2399,3431,31.836041636753706
368,565,806,19.972020335153456
369,1773,2485,35.80116215263057
370,451,648,14.294161123429417
371,13804,18408,48.21893313606311
372,947,1270,26.756020458508118
373,1380,1839,22.660185389538732
374,27370,40186,47.80441879090207
375,1277,1732,32.87321872629571
376,427,612,14.977680289386592
377,1615,2249,26.0306597458001
378,7864,10440,39.220912158092894
379,3264,4577,32.965809837572785
380,12346,18565,50.01779952506168
381,593,808,20.13027551159929
382,2801,4107,25.097724027133168
383,2813,3878,28.38869827598849
384,23791,34355,64.91470528106176
385,339,464,13.046796180901014
386,8433,11314,37.85379937540938
387,8042,11815,58.74257990964672
388,10060,14078,41.4717733167552
389,4207,6033,33.40661834243383
390,17820,26885,47.6740338327876
391,605,903,19.543424005254227
392,1058,1474,26.067262448739434
393,9272,13131,39.38133972180221
394,4914,6448,43.56694609941099
395,2035,2386,26.062634476793768
396,4414,6400,38.49086856797753
397,759,1125,23.743420206423533
398,12438,17519,53.46833038675723
399,2519,4207,21.028505203188097
400,831,1226,19.18944224551636
401,8175,11962,43.65127480360268
402,3310,4424,42.68155730183816
403,5471,8335,35.695596759647096
404,1157,1374,28.347320208270403
405,2163,3171,29.75052294432947
406,358,486,14.94615276278109
407,1965,2671,24.986376144649494
408,1193,1748,22.253625736257924
409,741,937,22.011777364408943
410,1337,1792,26.631867528966
411,1666,2262,27.300396915522967
412,4088,6186,26.751006364986207
413,327,426,15.667698542241233
414,4235,5854,48.67904705763597
415,1599,2276,29.568499868112188
416,1663,2285,22.48607514148455
417,4158,5273,41.29651510118193
418,2066,2937,25.605264996050433
419,1343,1967,21.900657269076394
420,19461,26209,61.05532364964466
421,1969,2683,28.763605189378456
422,2183,3036,40.18110824708721
423,3160,4329,33.23104792014778
424,3886,5403,38.619412854513214
425,13756,18360,52.967854761952324
426,6162,8719,36.854142080927964
427,2611,3788,31.70261449129897
428,11995,17823,49.436344794601
429,1126,1507,25.174070653246496
430,1343,1688,27.253951326800223
431,1346,1713,23.927649044118052
432,1101,1402,32.000842209561554
433,2332,3106,43.17506124109898
434,7906,10722,62.25058306063994
435,5649,8413,39.31637039221262
436,706,1024,18.78403552126655
437,1404,1826,25.775513602313318
438,1317,1904,26.30523110227952
439,4797,7114,39.49551472867651
